X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"207007",2022/07/18 09:14:19.949,2022/07/18 09:14:19.949+00,"4",PT,PRT,Portugal,Continente,Norte,Área Metropolitana do Porto,Bougado (São Martinho e Santiago),sentinel,0,0,0,0,0,99.9999999975,0,0,0,0,"0",2022/07/28 07:14:28.563,EU,EU
,,"207008",2022/07/18 09:14:12.286,2022/07/18 09:14:16.650+00,"4",PT,PRT,Portugal,Continente,Norte,Área Metropolitana do Porto,Covelas,sentinel,0,0,0,0,0,99.999999998,0,0,0,0,"0",2022/07/28 07:14:28.563,EU,EU
,,"207009",2022/07/27 03:02:00,2022/07/27 03:30:00+00,"10",PT,PRT,Portugal,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Arco da Calheta,sentinel,0,99.9999999988889,0,0,0,0,0,0,0,0,"0",2022/07/28 07:14:39.405,EU,EU
,,"207010",2022/07/22 13:53:00,2022/07/22 13:53:00+00,"5",ES,ESP,España,Canarias,Canarias,Tenerife,"Tanque, El",sentinel,0,0,0,0,99.9999999983333,0,0,0,0,98.0006743718669,"0",2022/07/28 07:23:13.368,EU,EU
,,"205960",2022/07/16 10:43:00,2022/07/17 00:43:00+00,"182",EL,GRC,Ελλάδα ,Κεντρική Ελλάδα,Δυτική Ελλάδα,Αχαΐα,Τοπική Κοινότητα Καλλιθέας,sentinel,0,43.3333333333093,0,14.4444444444364,0,29.4444444444281,12.7777777777707,0,0,0,"0",2022/07/18 10:22:48.846,EU,EU
,,"205441",2022/07/13 01:09:00,2022/07/14 01:39:00+00,"78",ES,ESP,España,Comunidad de Madrid,Comunidad de Madrid,Madrid,Collado Mediano,sentinel,48.1012658227239,0,0,0,48.1012658227239,0,3.79746835442557,0,0,0,"0",2022/07/18 10:25:19.707,EU,EU
,,"206023",2022/07/14 12:56:02.357,2022/07/14 12:56:02.357+00,"4",ES,ESP,España,Sur,Andalucía,Málaga,Mijas,sentinel,0,0,0,99.9999999975,0,0,0,0,0,0,"0",2022/07/18 10:56:12.360,EU,EU
,,"206041",2022/07/14 12:59:00,2022/07/14 13:53:00+00,"159",ES,ESP,España,Centro (ES),Castilla y León,Valladolid,Castronuño,sentinel,79.4871794871285,0,0,0,17.9487179487064,0,2.56410256410092,0,0,100,"0",2022/07/18 12:21:06.182,EU,EU
,,"205701",2022/07/13 13:23:00,2022/07/15 13:36:00+00,"316",PT,PRT,Portugal,Continente,Norte,Alto Minho,Lanhelas,sentinel,0,4.37499999999863,8.74999999999727,0,55.3124999999827,30.6249999999904,0.624999999999805,0.312499999999902,0,0,"0",2022/07/18 10:48:00.135,EU,EU
,,"205687",2022/07/14 22:29:00,2022/07/15 03:04:00+00,"244",ES,ESP,España,Sur,Andalucía,Cádiz,Olvera,sentinel,0,0,0,40.9836065573603,4.91803278688323,0,54.0983606557155,0,0,0,"0",2022/07/18 11:00:14.835,EU,EU
,,"206028",2022/07/16 11:15:00,2022/07/16 14:05:00+00,"18",ES,ESP,España,Sur,Andalucía,Málaga,Villanueva de la Concepción,sentinel,0,0,0,0,76.4705882348443,0,23.5294117645675,0,0,0,"0",2022/07/18 11:11:05.971,EU,EU
,,"206035",2022/07/16 01:54:00,2022/07/16 02:43:00+00,"39",ES,ESP,España,Comunidad de Madrid,Comunidad de Madrid,Madrid,Alcalá de Henares,sentinel,0,0,0,0,56.4102564101118,17.9487179486719,25.6410256409599,0,0,22.7748558943425,"0",2022/07/18 12:11:06.172,EU,EU
,,"206044",2022/07/11 13:59:00,2022/07/11 13:59:00+00,"21",ES,ESP,España,Centro (ES),Castilla y León,Burgos,Orbaneja Riopico,sentinel,29.1666666665451,0,0,0,0,0,70.8333333330382,0,0,0,"0",2022/07/18 12:31:06.211,EU,EU
,,"206029",2022/07/13 13:23:00,2022/07/13 14:14:00+00,"76",PT,PRT,Portugal,Continente,Norte,Alto Minho,Gondomil e Sanfins,sentinel,1.31578947368248,0,47.3684210525692,0,44.7368421052043,0,6.5789473684124,0,0,0,"0",2022/07/18 11:14:51.953,EU,EU
,,"206030",2022/02/02 01:26:00,2022/02/02 03:08:00+00,"8",PT,PRT,Portugal,Continente,Norte,Alto Minho,Gondomil e Sanfins,sentinel,12.4999999998437,0,0,0,87.4999999989062,0,0,0,0,0,"0",2022/07/18 11:14:51.953,EU,EU
,,"206034",2022/07/18 01:13:00,2022/07/18 02:56:00+00,"7",ES,ESP,España,Centro (ES),Castilla y León,León,Puente de Domingo Flórez,sentinel,0,0,0,0,0,99.9999999983333,0,0,0,0,"0",2022/07/23 23:09:35.469,EU,EU
,,"206050",2022/07/14 12:14:00,2022/07/14 12:59:00+00,"25",ES,ESP,España,Centro (ES),Castilla y León,Burgos,Condado de Treviño,sentinel,0,0,0,29.1666666665451,0,0,70.8333333330382,0,0,3.80677117219709,"0",2022/07/18 13:01:06.300,EU,EU
,,"206053",2022/07/17 21:23:00,2022/07/19 13:10:00+00,"56",ES,ESP,España,Centro (ES),Castilla y León,Burgos,Espinosa de los Monteros,sentinel,0,0,0,0,99.9999999998214,0,0,0,0,0,"0",2022/07/31 08:13:32.791,EU,EU
,,"206052",2022/07/18 11:49:00,2022/07/18 12:38:00+00,"534",ES,ESP,España,Centro (ES),Castilla y León,Burgos,Cerezo de Río Tirón,sentinel,0,0,0,51.8726591760202,0,0,48.127340823961,0,0,0.634150518075085,"0",2022/07/21 10:44:05.279,EU,EU
,,"205609",2022/07/12 13:14:00,2022/07/13 14:14:00+00,"71",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Peñamellera Baja,sentinel,0,0,0,0,95.999999999872,0,3.99999999999467,0,0,0,"0",2022/07/18 13:00:24.242,EU,EU
,,"205440",2022/07/13 02:00:00,2022/07/15 14:27:00+00,"29",ES,ESP,España,Centro (ES),Castilla y León,Ávila,Navalonguilla,sentinel,0,0,0,0,99.9999999996429,0,0,0,0,99.9999999999999,"0",2022/07/18 13:13:44.778,EU,EU
,,"206269",2022/07/16 02:43:00,2022/07/16 03:32:00+00,"9",ES,ESP,España,Centro (ES),Castilla y León,Palencia,Santibáñez de Ecla,sentinel,0,0,0,99.9999999988889,0,0,0,0,0,0,"0",2022/07/21 10:31:46.834,EU,EU
,,"207016",2022/07/23 12:44:00,2022/07/23 13:33:00+00,"23",ES,ESP,España,Sur,Andalucía,Málaga,Cortes de la Frontera,sentinel,0,0,0,79.99999999968,0,0,19.99999999992,0,0,23.5898277978401,"0",2022/07/28 08:34:34.476,EU,EU
,,"206124",2022/07/14 13:53:00,2022/07/15 02:13:00+00,"3",ES,ESP,España,Noroeste,Galicia,Ourense,"Peroxa, A",sentinel,0,99.9999999975,0,0,0,0,0,0,0,0,"0",2022/07/19 07:14:01.837,EU,EU
,,"181003",2022/02/21 12:46:00,2022/02/21 14:26:00+00,"16",PT,PRT,Portugal,Continente,Norte,Tâmega e Sousa,Ansiães,sentinel,0,0,0,0,82.3529411759862,17.6470588234256,0,0,0,100,"0",2022/07/18 15:33:24.031,EU,EU
,,"205702",2022/07/15 02:11:00,2022/07/16 02:43:00+00,"47",ES,ESP,España,Noroeste,Galicia,Pontevedra,Baiona,sentinel,72.340425531761,17.0212765957085,0,0,0,0,10.6382978723178,0,0,0,"0",2022/07/19 07:01:55.367,EU,EU
,,"206280",2022/07/18 12:38:00,2022/07/18 13:27:00+00,"3",PT,PRT,Portugal,Continente,Centro (PT),Região de Coimbra,Lousã e Vilarinho,sentinel,0,0,99.9999999966667,0,0,0,0,0,0,0,"0",2022/07/25 07:50:14.133,EU,EU
,,"210076",2022/08/30 02:00:00,2022/08/30 02:49:00+00,"6",PT,PRT,Portugal,Continente,Alentejo,Lezíria do Tejo,Asseiceira,sentinel,99.9999999985714,0,0,0,0,0,0,0,0,0,"0",2022/09/02 06:59:45.119,EU,EU
